date,category,amount,type
2024-01-01,Product Sales,45000,Revenue
2024-01-02,Consulting Fee,12000,Revenue
2024-01-03,Office Rent,15000,Expense
2024-01-04,Electricity Bill,2500,Expense
2024-01-05,Software Subscription,5000,Expense
2024-01-06,Product Sales,38000,Revenue
2024-01-07,Marketing Ads,8000,Expense
2024-01-08,Freelancer Pay,10000,Expense
2024-01-09,Interest Income,1500,Revenue
2024-01-10,Raw Materials,22000,Expense
2024-01-11,Product Sales,52000,Revenue
2024-01-12,Travel Expense,3500,Expense
2024-01-13,Internet Charges,1200,Expense
2024-01-14,Product Sales,41000,Revenue
